veh_op_day_id,vmt,time_on_shift_s,time_off_shift_s
1,82.33731429562616,29867,56532
2,33.389696338421224,31686,54713
3,68.04609885890916,34583,51816
4,52.43842036341648,32787,53612
5,37.761741174873045,29860,56539
6,37.30643386700738,29228,57171
7,101.54619103526792,34001,52398
8,40.56363084801107,32466,53933
9,38.138893010106344,35786,50613
10,38.777386772602,32577,53822
11,52.800254351691265,41939,44460
12,75.47595178348647,36758,49641
13,83.31903530216158,21143,65256
14,93.09159579198838,32139,54260
15,81.05014116884735,28317,58082
16,113.80583749526228,39367,47032
17,121.58992245478498,31863,54536
18,79.9207899359009,31464,54935
19,85.74960186418076,31019,55380
20,56.19954679812067,38218,48181
21,49.210610401013454,36596,49803
22,150.73312583539928,43625,42774
23,141.04327187500581,29769,56630
24,141.04021019429894,31058,55341
25,147.67691904156231,31213,55186
26,155.95439658023471,30224,56175
27,146.99973590123932,34533,51866
28,10.904160952906151,2853,83546
29,75.11262707385805,29558,56841
30,149.30909129114093,31259,55140
31,92.01746473250367,24232,62167
32,103.63986677575215,34397,52002
33,97.54911083382133,31304,55095
34,83.79694349668077,32595,53804
35,41.567350653370234,29019,57380
36,73.92421054061936,24562,61837
37,52.318621709289,30061,56338
38,89.37107692441585,33551,52848
39,99.408440167149,34348,52051
40,86.37468383440606,29424,56975
41,81.64126551148166,30015,56384
42,97.93472425963877,35527,50872
43,55.6507317906986,23069,63330
44,119.67409124776854,34925,51474
45,94.76098153359266,29836,56563
46,92.51087079491214,30727,55672
47,92.562016585988,32639,53760
48,88.88614526837702,31556,54843
49,62.62079848836483,32829,53570
50,100.44584453231315,38782,47617
51,93.5863557128588,29806,56593
52,67.85563812946225,25810,60589
53,73.28706523483496,27821,58578
54,116.52088154244842,27204,59195
55,147.08157131346792,26344,60055
56,107.7092447322092,21767,64632
57,124.54764908768664,22884,63515
58,39.118721451115455,17218,69181
59,141.31322034756508,24881,61518
60,123.4792523553342,25905,60494
61,105.33140840349827,18890,67509
62,42.05475336457032,21335,65064
63,49.676931267131074,28686,57713
64,194.40743321011286,31064,55335
65,126.95789973084636,20223,66176
66,55.58666233976237,30885,55514
67,47.98010568796006,27305,59094
68,49.7303485416721,33368,53031
69,49.56920336239041,30938,55461
70,51.023061823178175,32587,53812
71,47.49087716006294,24284,62115
72,54.988508474367336,30037,56362
73,46.20494529079427,28742,57657
74,54.52725040592542,33519,52880
75,48.141177376097,30155,56244
76,56.78677071121507,31298,55101
77,46.86982776810004,31906,54493
78,29.531980964066843,31818,54581
79,23.30161476931792,29994,56405
80,24.593398960852717,31181,55218
81,25.206483665698784,45232,41167
82,25.40453960387261,30946,55453
83,23.44796463031901,32047,54352
84,27.149504579880038,31200,55199
85,27.729591760656476,30538,55861
86,24.790263533465208,30493,55906
87,24.257915256204427,33239,53160
88,24.445453869911024,35919,50480
89,20.8267209106388,27600,58799
90,129.07806802044524,29477,56922
91,133.98012964965906,32231,54168
92,121.52793975636504,32235,54164
93,153.45690385843125,33492,52907
94,143.9031581958801,36110,50289
95,123.01393677288223,29780,56619
96,156.32188399621856,32320,54079
97,152.94188735277095,31674,54725
98,148.1327630361736,32235,54164
99,138.56399282036077,30435,55964
100,126.48912467462928,31471,54928
