veh_op_day_id,start_time,end_time,total_time_s,on_shift,vmt
1,00:00:00,08:55:49,32149,0,0.0
1,08:55:49,17:13:36,29867,1,82.33731429562616
1,17:13:36,23:59:59,24383,0,0.0
2,00:00:00,09:00:51,32451,0,0.0
2,09:00:51,17:48:57,31686,1,33.389696338421224
2,17:48:57,23:59:59,22262,0,0.0
3,00:00:00,09:16:14,33374,0,0.0
3,09:16:14,18:52:37,34583,1,68.04609885890916
3,18:52:37,23:59:59,18442,0,0.0
4,00:00:00,09:05:53,32753,0,0.0
4,09:05:53,18:12:20,32787,1,52.43842036341648
4,18:12:20,23:59:59,20859,0,0.0
5,00:00:00,08:32:11,30731,0,0.0
5,08:32:11,16:49:51,29860,1,37.761741174873045
5,16:49:51,23:59:59,25808,0,0.0
6,00:00:00,08:57:03,32223,0,0.0
6,08:57:03,17:04:11,29228,1,37.30643386700738
6,17:04:11,23:59:59,24948,0,0.0
7,00:00:00,09:16:02,33362,0,0.0
7,09:16:02,18:42:43,34001,1,101.54619103526792
7,18:42:43,23:59:59,19036,0,0.0
8,00:00:00,08:57:03,32223,0,0.0
8,08:57:03,17:58:09,32466,1,40.56363084801107
8,17:58:09,23:59:59,21710,0,0.0
9,00:00:00,09:09:49,32989,0,0.0
9,09:09:49,19:06:15,35786,1,38.138893010106344
9,19:06:15,23:59:59,17624,0,0.0
10,00:00:00,08:56:54,32214,0,0.0
10,08:56:54,17:59:51,32577,1,38.777386772602
10,17:59:51,23:59:59,21608,0,0.0
11,00:00:00,09:10:28,33028,0,0.0
11,09:10:28,20:49:27,41939,1,52.800254351691265
11,20:49:27,23:59:59,11432,0,0.0
12,00:00:00,08:46:27,31587,0,0.0
12,08:46:27,18:59:05,36758,1,75.47595178348647
12,18:59:05,23:59:59,18054,0,0.0
13,00:00:00,11:22:45,40965,0,0.0
13,11:22:45,17:15:08,21143,1,83.31903530216158
13,17:15:08,23:59:59,24291,0,0.0
14,00:00:00,08:42:03,31323,0,0.0
14,08:42:03,17:37:42,32139,1,93.09159579198838
14,17:37:42,23:59:59,22937,0,0.0
15,00:00:00,09:17:33,33453,0,0.0
15,09:17:33,17:09:30,28317,1,81.05014116884735
15,17:09:30,23:59:59,24629,0,0.0
16,00:00:00,05:59:24,21564,0,0.0
16,05:59:24,16:55:31,39367,1,113.80583749526228
16,16:55:31,23:59:59,25468,0,0.0
17,00:00:00,08:46:24,31584,0,0.0
17,08:46:24,17:37:27,31863,1,121.58992245478498
17,17:37:27,23:59:59,22952,0,0.0
18,00:00:00,09:07:15,32835,0,0.0
18,09:07:15,17:51:39,31464,1,79.9207899359009
18,17:51:39,23:59:59,22100,0,0.0
19,00:00:00,09:11:09,33069,0,0.0
19,09:11:09,17:48:08,31019,1,85.74960186418076
19,17:48:08,23:59:59,22311,0,0.0
20,00:00:00,10:25:24,37524,0,0.0
20,10:25:24,21:02:22,38218,1,56.19954679812067
20,21:02:22,23:59:59,10657,0,0.0
21,00:00:00,10:41:33,38493,0,0.0
21,10:41:33,20:51:29,36596,1,49.210610401013454
21,20:51:29,23:59:59,11310,0,0.0
22,00:00:00,08:23:55,30235,0,0.0
22,08:23:55,20:31:00,43625,1,150.73312583539928
22,20:31:00,23:59:59,12539,0,0.0
23,00:00:00,08:37:34,31054,0,0.0
23,08:37:34,16:53:43,29769,1,141.04327187500581
23,16:53:43,23:59:59,25576,0,0.0
24,00:00:00,08:23:36,30216,0,0.0
24,08:23:36,17:01:14,31058,1,141.04021019429894
24,17:01:14,23:59:59,25125,0,0.0
25,00:00:00,08:28:44,30524,0,0.0
25,08:28:44,17:08:57,31213,1,147.67691904156231
25,17:08:57,23:59:59,24662,0,0.0
26,00:00:00,07:57:56,28676,0,0.0
26,07:57:56,16:21:40,30224,1,155.95439658023471
26,16:21:40,23:59:59,27499,0,0.0
27,00:00:00,08:23:13,30193,0,0.0
27,08:23:13,17:10:52,31659,1,137.23046094021961
27,17:10:52,22:20:17,18565,0,0.0
27,22:20:17,23:08:11,2874,1,9.769274961019715
27,23:08:11,23:59:59,3108,0,0.0
28,00:00:00,21:23:43,77023,0,0.0
28,21:23:43,22:11:16,2853,1,10.904160952906151
28,22:11:16,23:59:59,6523,0,0.0
29,00:00:00,08:48:59,31739,0,0.0
29,08:48:59,17:01:37,29558,1,75.11262707385805
29,17:01:37,23:59:59,25102,0,0.0
30,00:00:00,08:41:10,31270,0,0.0
30,08:41:10,17:22:09,31259,1,149.30909129114093
30,17:22:09,23:59:59,23870,0,0.0
31,00:00:00,10:23:22,37402,0,0.0
31,10:23:22,17:07:14,24232,1,92.01746473250367
31,17:07:14,23:59:59,24765,0,0.0
32,00:00:00,08:28:57,30537,0,0.0
32,08:28:57,18:02:14,34397,1,103.63986677575215
32,18:02:14,23:59:59,21465,0,0.0
33,00:00:00,08:34:55,30895,0,0.0
33,08:34:55,17:16:39,31304,1,97.54911083382133
33,17:16:39,23:59:59,24200,0,0.0
34,00:00:00,08:38:38,31118,0,0.0
34,08:38:38,17:41:53,32595,1,83.79694349668077
34,17:41:53,23:59:59,22686,0,0.0
35,00:00:00,09:49:39,35379,0,0.0
35,09:49:39,17:53:18,29019,1,41.567350653370234
35,17:53:18,23:59:59,22001,0,0.0
36,00:00:00,08:37:08,31028,0,0.0
36,08:37:08,15:26:30,24562,1,73.92421054061936
36,15:26:30,23:59:59,30809,0,0.0
37,00:00:00,08:26:25,30385,0,0.0
37,08:26:25,16:47:26,30061,1,52.318621709289
37,16:47:26,23:59:59,25953,0,0.0
38,00:00:00,08:57:57,32277,0,0.0
38,08:57:57,18:17:08,33551,1,89.37107692441585
38,18:17:08,23:59:59,20571,0,0.0
39,00:00:00,08:26:06,30366,0,0.0
39,08:26:06,17:58:34,34348,1,99.408440167149
39,17:58:34,23:59:59,21685,0,0.0
40,00:00:00,08:50:07,31807,0,0.0
40,08:50:07,17:00:31,29424,1,86.37468383440606
40,17:00:31,23:59:59,25168,0,0.0
41,00:00:00,08:34:28,30868,0,0.0
41,08:34:28,16:54:43,30015,1,81.64126551148166
41,16:54:43,23:59:59,25516,0,0.0
42,00:00:00,08:42:23,31343,0,0.0
42,08:42:23,18:34:30,35527,1,97.93472425963877
42,18:34:30,23:59:59,19529,0,0.0
43,00:00:00,08:30:10,30610,0,0.0
43,08:30:10,14:54:39,23069,1,55.6507317906986
43,14:54:39,23:59:59,32720,0,0.0
44,00:00:00,08:55:21,32121,0,0.0
44,08:55:21,18:37:26,34925,1,119.67409124776854
44,18:37:26,23:59:59,19353,0,0.0
45,00:00:00,08:41:13,31273,0,0.0
45,08:41:13,16:58:29,29836,1,94.76098153359266
45,16:58:29,23:59:59,25290,0,0.0
46,00:00:00,08:45:55,31555,0,0.0
