veh_op_day_id,vmt,time_on_shift_s,time_off_shift_s
1,18.99148183970486,28947,57452
2,88.97992805543403,41248,45151
3,21.13764711094184,31321,55078
4,268.2736174288715,39852,46547
5,136.91491152898004,47073,39326
6,98.62543718597658,43035,43364
7,117.23444144226129,42279,44120
8,269.4505733924002,41050,45349
9,20.593456646002604,22132,64267
10,31.717478156588545,31691,54708
11,22.997498973007808,35216,51183
12,60.988421271432294,40976,45423
13,22.572542159461804,33142,53257
14,138.2334073919097,42964,43435
15,19.113962586080728,22999,63400
16,21.639161470394967,36499,49900
17,153.7675933934592,46723,39676
18,136.73024783491755,44193,42206
19,23.561714089314236,27484,58915
20,88.91177142387153,39443,46956
21,23.496615768142362,30763,55636
22,16.960739468025174,20345,66054
23,64.60190399640625,35338,51061
24,56.64350882623698,34797,51602
25,20.274459230108505,45731,40668
26,74.98036391159722,32520,53879
27,33.969543493177085,41033,45366
28,20.711792222122394,35736,50663
29,30.041181553337672,31715,54684
30,61.856536430117195,42487,43912
31,31.508024348671874,37739,48660
32,64.25202411818142,40682,45717
33,25.083447353237847,29994,56405
34,22.613710685134546,30307,56092
35,42.41357354168837,25363,61036
36,32.25180867197917,36001,50398
37,158.40108735985245,33651,52748
38,63.599492872808156,31725,54674
39,39.333566407595484,5732,80667
40,21.18383730676215,34625,51774
41,53.315827095112844,26485,59914
42,151.63567326815107,26670,59729
43,252.47390185327035,38131,48268
44,89.38482515761719,49671,36728
45,252.25952076750218,41253,45146
46,227.11562593636287,48376,38023
47,289.2705660803082,47544,38855
48,23.332447338465716,10904,75495
49,318.65424595965715,59847,26552
50,164.48194290014538,42283,44116
51,193.52839146893447,40933,45466
52,178.7722595879883,31641,54758
53,189.37162714198567,41838,44561
54,188.2653952804709,39561,46838
55,182.3054319990582,36305,50094
56,192.3139064769748,35651,50748
57,179.3129831587413,31388,55011
58,197.7657331051389,33870,52529
59,180.09865338917103,33594,52805
60,182.78622994646048,32701,53698
61,187.87154612230466,41735,44664
62,39.626897209743916,35982,50417
63,272.4779864876193,53124,33275
64,254.91490011262374,46824,39575
65,208.20370601450088,53048,33351
66,223.4683399817274,40489,45910
67,196.76325321001087,38238,48161
68,282.19640422759767,41473,44926
69,151.22687911260417,45462,40937
70,237.37481039785808,56492,29907
71,183.8745528925,33861,52538
72,301.1248441497222,46938,39461
73,141.5144836011111,49822,36577
74,104.13194122583333,48028,38371
75,186.17258997416664,45822,40577
76,36.59823409083334,31937,54462
77,304.6535410175,47222,39177
78,187.2246055977778,33266,53133
79,149.46440773694442,51822,34577
80,133.24092873611113,43639,42760
81,49.12265700805555,38050,48349
82,34.51819466833334,9681,76718
83,28.376632745555554,27332,59067
84,25.572350901944443,44175,42224
85,17.570818452500003,16113,70286
86,15.538417473333332,29665,56734
87,27.391241901388884,25683,60716
88,94.7485487136111,36271,50128
89,15.280893714444444,7486,78913
90,26.274845338055556,28340,58059
91,62.05649437305555,43380,43019
92,146.6792848325,48080,38319
93,140.66182450666668,38426,47973
94,221.15750330472224,43396,43003
95,26.710150244166666,24114,62285
96,81.21957601305556,47392,39007
97,18.550685998888888,30447,55952
98,26.12174642777778,38170,48229
99,23.01212977888889,37040,49359
100,151.31022481305556,48521,37878
101,25.37713684611111,31417,54982
102,19.040533470555555,25345,61054
103,145.80677638666668,42788,43611
104,58.639644285277775,48727,37672
105,21.07397006805556,27332,59067
106,24.00166309638889,30486,55913
107,159.58705913611112,40268,46131
108,20.31693306638889,36206,50193
109,13.185492620000002,4702,81697
110,27.43974336,38755,47644
111,131.7643095958333,45593,40806
112,32.022378083074,30118,56281
113,39.49022458462356,29984,56415
114,53.51913326763672,39803,46596
115,43.79494074183485,49608,36791
116,46.99865032830622,44256,42143
117,54.36215625800913,42110,44289
118,183.16272238446285,46864,39535
119,46.917158762240675,44732,41667
120,437.312595931016,58881,27518
121,80.0883227799962,38915,47484
122,128.83600774153172,50069,36330
123,43.055867268363514,39623,46776
124,89.72983169660928,33751,52648
125,153.72474335483838,44738,41661
126,78.78151807766685,41267,45132
127,44.54834970887184,38453,47946
128,74.59121886243585,43865,42534
129,50.78517705591997,56679,29720
130,74.81494815926848,38988,47411
131,34.093793420872395,45861,40538
132,76.60961000491014,36173,50226
133,229.57602991031285,54639,31760
134,109.95264687907884,48021,38378
135,80.94484521362926,39020,47379
136,77.24098523567442,35445,50954
137,57.30945186878256,37085,49314
138,53.84090918827315,43908,42491
139,89.60514149622439,35928,50471
140,86.25652692804579,35953,50446
141,54.150848314878125,44903,41496
142,133.80986684496474,41061,45338
143,65.0370147242611,40300,46099
144,48.923311940845075,41631,44768
145,89.46871159113898,40445,45954
146,135.9923306729149,36467,49932
147,102.46282450754572,36765,49634
148,57.4951336508785,40167,46232
149,58.029928712954906,48610,37789
150,72.47308742814867,46530,39869
