veh_op_day_id,start_time,end_time,total_time_s,on_shift,vmt
1,00:00:00,04:22:28,15748,0,0.0
1,04:22:28,12:24:55,28947,1,18.99148183970486
1,12:24:55,23:59:59,41704,0,0.0
2,00:00:00,05:04:51,18291,0,0.0
2,05:04:51,16:32:19,41248,1,88.97992805543403
2,16:32:19,23:59:59,26860,0,0.0
3,00:00:00,04:37:57,16677,0,0.0
3,04:37:57,13:19:58,31321,1,21.13764711094184
3,13:19:58,23:59:59,38401,0,0.0
4,00:00:00,05:00:02,18002,0,0.0
4,05:00:02,16:04:14,39852,1,268.2736174288715
4,16:04:14,23:59:59,28545,0,0.0
5,00:00:00,04:58:46,17926,0,0.0
5,04:58:46,18:03:19,47073,1,136.91491152898004
5,18:03:19,23:59:59,21400,0,0.0
6,00:00:00,04:49:51,17391,0,0.0
6,04:49:51,16:47:06,43035,1,98.62543718597658
6,16:47:06,23:59:59,25973,0,0.0
7,00:00:00,05:08:01,18481,0,0.0
7,05:08:01,16:52:40,42279,1,117.23444144226129
7,16:52:40,23:59:59,25639,0,0.0
8,00:00:00,05:06:01,18361,0,0.0
8,05:06:01,16:30:11,41050,1,269.4505733924002
8,16:30:11,23:59:59,26988,0,0.0
9,00:00:00,06:08:37,22117,0,0.0
9,06:08:37,08:15:23,7606,1,6.955978652725695
9,08:15:23,11:30:33,11710,0,0.0
9,11:30:33,14:55:32,12299,1,12.443577264153644
9,14:55:32,17:43:38,10086,0,0.0
9,17:43:38,18:20:45,2227,1,1.1939007291232637
9,18:20:45,23:59:59,20354,0,0.0
10,00:00:00,04:48:36,17316,0,0.0
10,04:48:36,13:36:47,31691,1,31.717478156588545
10,13:36:47,23:59:59,37392,0,0.0
11,00:00:00,06:12:03,22323,0,0.0
11,06:12:03,15:58:59,35216,1,22.997498973007808
11,15:58:59,23:59:59,28860,0,0.0
12,00:00:00,03:48:56,13736,0,0.0
12,03:48:56,14:31:49,38573,1,59.50175879085938
12,14:31:49,18:09:11,13042,0,0.0
12,18:09:11,18:49:14,2403,1,1.4866624805729165
12,18:49:14,23:59:59,18645,0,0.0
13,00:00:00,05:16:12,18972,0,0.0
13,05:16:12,07:40:45,8673,1,8.493378340863716
13,07:40:45,10:11:57,9072,0,0.0
13,10:11:57,16:59:46,24469,1,14.07916381859809
13,16:59:46,23:59:59,25213,0,0.0
14,00:00:00,04:48:56,17336,0,0.0
14,04:48:56,16:45:00,42964,1,138.2334073919097
14,16:45:00,23:59:59,26099,0,0.0
15,00:00:00,06:09:59,22199,0,0.0
15,06:09:59,07:06:40,3401,1,6.51558735032118
15,07:06:40,09:57:37,10257,0,0.0
15,09:57:37,15:24:15,19598,1,12.598375235759548
15,15:24:15,23:59:59,30944,0,0.0
16,00:00:00,06:02:43,21763,0,0.0
16,06:02:43,16:11:02,36499,1,21.639161470394967
16,16:11:02,23:59:59,28137,0,0.0
17,00:00:00,04:58:16,17896,0,0.0
17,04:58:16,17:56:59,46723,1,153.7675933934592
17,17:56:59,23:59:59,21780,0,0.0
18,00:00:00,04:21:39,15699,0,0.0
18,04:21:39,16:38:12,44193,1,136.73024783491755
18,16:38:12,23:59:59,26507,0,0.0
19,00:00:00,06:10:54,22254,0,0.0
19,06:10:54,07:24:27,4413,1,7.805859916744792
19,07:24:27,10:19:58,10531,0,0.0
19,10:19:58,16:44:29,23071,1,15.755854172569444
19,16:44:29,23:59:59,26130,0,0.0
20,00:00:00,04:37:24,16644,0,0.0
20,04:37:24,15:34:47,39443,1,88.91177142387153
20,15:34:47,23:59:59,30312,0,0.0
21,00:00:00,05:35:11,20111,0,0.0
21,05:35:11,13:30:27,28516,1,22.40080211918403
21,13:30:27,16:34:36,11049,0,0.0
21,16:34:36,17:12:03,2247,1,1.0958136489583334
21,17:12:03,23:59:59,24476,0,0.0
22,00:00:00,03:57:32,14252,0,0.0
22,03:57:32,05:43:51,6379,1,7.330861701701389
22,05:43:51,09:53:33,14982,0,0.0
22,09:53:33,13:46:19,13966,1,9.629877766323785
22,13:46:19,23:59:59,36820,0,0.0
23,00:00:00,05:32:31,19951,0,0.0
23,05:32:31,15:21:29,35338,1,64.60190399640625
23,15:21:29,23:59:59,31110,0,0.0
24,00:00:00,00:34:39,2079,0,0.0
24,00:34:39,10:14:36,34797,1,56.64350882623698
24,10:14:36,23:59:59,49523,0,0.0
25,00:00:00,04:48:57,17337,0,0.0
25,04:48:57,17:31:08,45731,1,20.274459230108505
25,17:31:08,23:59:59,23331,0,0.0
26,00:00:00,05:57:27,21447,0,0.0
26,05:57:27,14:59:27,32520,1,74.98036391159722
26,14:59:27,23:59:59,32432,0,0.0
27,00:00:00,06:33:00,23580,0,0.0
27,06:33:00,17:56:53,41033,1,33.969543493177085
27,17:56:53,23:59:59,21786,0,0.0
28,00:00:00,04:57:58,17878,0,0.0
28,04:57:58,14:53:34,35736,1,20.711792222122394
28,14:53:34,23:59:59,32785,0,0.0
29,00:00:00,04:20:22,15622,0,0.0
29,04:20:22,13:08:57,31715,1,30.041181553337672
29,13:08:57,23:59:59,39062,0,0.0
30,00:00:00,05:13:13,18793,0,0.0
30,05:13:13,17:01:20,42487,1,61.856536430117195
30,17:01:20,23:59:59,25119,0,0.0
31,00:00:00,00:33:44,2024,0,0.0
31,00:33:44,01:14:23,2439,1,1.011143759440104
31,01:14:23,06:20:16,18353,0,0.0
31,06:20:16,16:08:36,35300,1,30.496880589231772
31,16:08:36,23:59:59,28283,0,0.0
32,00:00:00,06:03:26,21806,0,0.0
32,06:03:26,17:21:28,40682,1,64.25202411818142
32,17:21:28,23:59:59,23911,0,0.0
33,00:00:00,03:42:16,13336,0,0.0
33,03:42:16,11:25:09,27773,1,24.090586033072917
33,11:25:09,14:09:42,9873,0,0.0
33,14:09:42,14:46:43,2221,1,0.9928613201649306
33,14:46:43,23:59:59,33196,0,0.0
34,00:00:00,07:31:22,27082,0,0.0
34,07:31:22,13:13:41,20539,1,21.568607274513887
34,13:13:41,17:39:02,15921,0,0.0
34,17:39:02,20:21:50,9768,1,1.0451034106206598
34,20:21:50,23:59:59,13089,0,0.0
35,00:00:00,05:17:09,19029,0,0.0
35,05:17:09,12:19:52,25363,1,42.41357354168837
35,12:19:52,23:59:59,42007,0,0.0
36,00:00:00,05:00:07,18007,0,0.0
36,05:00:07,15:00:08,36001,1,32.25180867197917
36,15:00:08,23:59:59,32391,0,0.0
37,00:00:00,05:21:11,19271,0,0.0
37,05:21:11,14:42:02,33651,1,158.40108735985245
37,14:42:02,23:59:59,33477,0,0.0
38,00:00:00,05:21:45,19305,0,0.0
38,05:21:45,14:10:30,31725,1,63.599492872808156
38,14:10:30,23:59:59,35369,0,0.0
39,00:00:00,04:25:30,15930,0,0.0
39,04:25:30,06:01:02,5732,1,39.333566407595484
39,06:01:02,23:59:59,64737,0,0.0
40,00:00:00,03:07:15,11235,0,0.0
40,03:07:15,12:44:20,34625,1,21.18383730676215
40,12:44:20,23:59:59,40539,0,0.0
41,00:00:00,05:16:21,18981,0,0.0
41,05:16:21,11:57:14,24053,1,52.30405495267361
41,11:57:14,16:05:05,14871,0,0.0
41,16:05:05,16:45:37,2432,1,1.011772142439236
41,16:45:37,23:59:59,26062,0,0.0
42,00:00:00,04:08:41,14921,0,0.0
42,04:08:41,10:50:08,24087,1,150.60454800810766
42,10:50:08,15:49:35,17967,0,0.0
42,15:49:35,16:32:38,2583,1,1.0311252600434027
42,16:32:38,23:59:59,26841,0,0.0
43,00:00:00,03:47:30,13650,0,0.0
43,03:47:30,14:23:01,38131,1,252.47390185327035
43,14:23:01,23:59:59,34618,0,0.0
44,00:00:00,03:47:35,13655,0,0.0
44,03:47:35,17:35:26,49671,1,89.38482515761719
44,17:35:26,23:59:59,23073,0,0.0
45,00:00:00,01:46:20,6380,0,0.0
45,01:46:20,13:13:53,41253,1,252.25952076750218
45,13:13:53,23:59:59,38766,0,0.0
46,00:00:00,03:59:09,14349,0,0.0
46,03:59:09,17:25:25,48376,1,227.11562593636287
46,17:25:25,23:59:59,23674,0,0.0
47,00:00:00,02:15:25,8125,0,0.0
47,02:15:25,15:27:49,47544,1,289.2705660803082
47,15:27:49,23:59:59,30730,0,0.0
48,00:00:00,09:28:27,34107,0,0.0
48,09:28:27,12:30:11,10904,1,23.332447338465716
48,12:30:11,23:59:59,41388,0,0.0
49,00:00:00,02:13:12,7992,0,0.0
49,02:13:12,18:50:39,59847,1,318.65424595965715
49,18:50:39,23:59:59,18560,0,0.0
50,00:00:00,03:15:51,11751,0,0.0
50,03:15:51,15:00:34,42283,1,164.48194290014538
50,15:00:34,23:59:59,32365,0,0.0
51,00:00:00,02:59:32,10772,0,0.0
51,02:59:32,14:21:45,40933,1,193.52839146893447
51,14:21:45,23:59:59,34694,0,0.0
52,00:00:00,02:52:02,10322,0,0.0
52,02:52:02,11:39:23,31641,1,178.7722595879883
52,11:39:23,23:59:59,44436,0,0.0
53,00:00:00,02:18:26,8306,0,0.0
53,02:18:26,13:55:44,41838,1,189.37162714198567
53,13:55:44,23:59:59,36255,0,0.0
54,00:00:00,02:26:59,8819,0,0.0
54,02:26:59,13:26:20,39561,1,188.2653952804709
54,13:26:20,23:59:59,38019,0,0.0
55,00:00:00,03:33:20,12800,0,0.0
55,03:33:20,13:38:25,36305,1,182.3054319990582
55,13:38:25,23:59:59,37294,0,0.0
56,00:00:00,02:23:53,8633,0,0.0
56,02:23:53,12:18:04,35651,1,192.3139064769748
56,12:18:04,23:59:59,42115,0,0.0
57,00:00:00,02:36:35,9395,0,0.0
57,02:36:35,11:19:43,31388,1,179.3129831587413
57,11:19:43,23:59:59,45616,0,0.0
58,00:00:00,03:15:25,11725,0,0.0
58,03:15:25,12:39:55,33870,1,197.7657331051389
58,12:39:55,23:59:59,40804,0,0.0
59,00:00:00,02:27:47,8867,0,0.0
59,02:27:47,11:47:41,33594,1,180.09865338917103
59,11:47:41,23:59:59,43938,0,0.0
60,00:00:00,02:07:05,7625,0,0.0
60,02:07:05,07:31:34,19469,1,93.0724948334071
60,07:31:34,10:06:01,9267,0,0.0
60,10:06:01,13:08:07,10926,1,88.61167943640626
60,13:08:07,16:25:30,11843,0,0.0
60,16:25:30,17:03:56,2306,1,1.1020556766471352
60,17:03:56,23:59:59,24963,0,0.0
61,00:00:00,01:56:24,6984,0,0.0
61,01:56:24,12:55:31,39547,1,186.70777945945093
61,12:55:31,16:13:01,11850,0,0.0
61,16:13:01,16:49:29,2188,1,1.1637666628537326
61,16:49:29,23:59:59,25830,0,0.0
62,00:00:00,05:02:27,18147,0,0.0
62,05:02:27,15:02:09,35982,1,39.626897209743916
62,15:02:09,23:59:59,32270,0,0.0
63,00:00:00,03:36:32,12992,0,0.0
63,03:36:32,18:21:56,53124,1,272.4779864876193
63,18:21:56,23:59:59,20283,0,0.0
64,00:00:00,02:55:39,10539,0,0.0
64,02:55:39,15:56:03,46824,1,254.91490011262374
64,15:56:03,23:59:59,29036,0,0.0
65,00:00:00,04:28:22,16102,0,0.0
65,04:28:22,19:12:30,53048,1,208.20370601450088
65,19:12:30,23:59:59,17249,0,0.0
66,00:00:00,03:30:35,12635,0,0.0
66,03:30:35,14:45:24,40489,1,223.4683399817274
66,14:45:24,23:59:59,33275,0,0.0
67,00:00:00,02:53:20,10400,0,0.0
67,02:53:20,12:49:58,35798,1,195.91604055104602
67,12:49:58,17:49:59,18001,0,0.0
67,17:49:59,18:30:39,2440,1,0.8472126589648437
67,18:30:39,23:59:59,19760,0,0.0
68,00:00:00,02:15:25,8125,0,0.0
68,02:15:25,13:46:38,41473,1,282.19640422759767
68,13:46:38,23:59:59,36801,0,0.0
69,00:00:00,04:23:00,15780,0,0.0
69,04:23:00,17:00:42,45462,1,151.22687911260417
69,17:00:42,23:59:59,25157,0,0.0
70,00:00:00,02:20:32,8432,0,0.0
70,02:20:32,18:02:04,56492,1,237.37481039785808
70,18:02:04,23:59:59,21475,0,0.0
71,00:00:00,01:36:18,5778,0,0.0
71,01:36:18,11:00:39,33861,1,183.8745528925
71,11:00:39,23:59:59,46760,0,0.0
72,00:00:00,03:00:55,10855,0,0.0
72,03:00:55,15:11:02,43807,1,298.7247986622222
72,15:11:02,20:06:18,17716,0,0.0
72,20:06:18,20:58:29,3131,1,2.4000454875000004
72,20:58:29,23:59:59,10890,0,0.0
73,00:00:00,01:43:02,6182,0,0.0
73,01:43:02,15:33:24,49822,1,141.5144836011111
73,15:33:24,23:59:59,30395,0,0.0
74,00:00:00,03:55:31,14131,0,0.0
74,03:55:31,17:15:59,48028,1,104.13194122583333
74,17:15:59,23:59:59,24240,0,0.0
75,00:00:00,02:06:02,7562,0,0.0
75,02:06:02,14:13:07,43625,1,183.77099105916665
75,14:13:07,17:55:17,13330,0,0.0
75,17:55:17,18:31:54,2197,1,2.401598915
75,18:31:54,23:59:59,19685,0,0.0
76,00:00:00,01:02:56,3776,0,0.0
76,01:02:56,09:55:13,31937,1,36.59823409083334
76,09:55:13,23:59:59,50686,0,0.0
77,00:00:00,03:16:04,11764,0,0.0
77,03:16:04,16:23:06,47222,1,304.6535410175
77,16:23:06,23:59:59,27413,0,0.0
78,00:00:00,04:48:59,17339,0,0.0
78,04:48:59,14:03:25,33266,1,187.2246055977778
78,14:03:25,23:59:59,35794,0,0.0
79,00:00:00,02:59:00,10740,0,0.0
79,02:59:00,17:22:42,51822,1,149.46440773694442
79,17:22:42,23:59:59,23837,0,0.0
80,00:00:00,05:28:46,19726,0,0.0
80,05:28:46,17:36:05,43639,1,133.24092873611113
80,17:36:05,23:59:59,23034,0,0.0
81,00:00:00,04:34:02,16442,0,0.0
81,04:34:02,15:08:12,38050,1,49.12265700805555
81,15:08:12,23:59:59,31907,0,0.0
82,00:00:00,12:38:31,45511,0,0.0
82,12:38:31,15:19:52,9681,1,34.51819466833334
82,15:19:52,23:59:59,31207,0,0.0
83,00:00:00,05:36:00,20160,0,0.0
83,05:36:00,12:28:43,24763,1,27.266795098333333
83,12:28:43,18:11:50,20587,0,0.0
83,18:11:50,18:54:39,2569,1,1.1098376472222222
83,18:54:39,23:59:59,18320,0,0.0
84,00:00:00,03:02:15,10935,0,0.0
